1. 나폴레옹 보나파르트 (Napoleon Bonaparte) | Slug: napoleon-bonaparte | Category: leadership | Era: 19세기의 거인 (18세기 ~ 19세기)
163. Maimonides (Maimonides) | Slug: maimonides | Category: science | Era: Middle Ages (12th Century)
164. Zoroaster (Zoroaster) | Slug: zoroaster | Category: science | Era: c. 1000-900 BCE
165. Miguel de Cervantes (Miguel De Cervantes) | Slug: miguel-de-cervantes | Category: science | Era: Spanish Golden Age
166. Leo Tolstoy (Leo Tolstoy) | Slug: leo-tolstoy | Category: science | Era: 19th Century
167. Murasaki Shikibu (Murasaki Shikibu) | Slug: murasaki-shikibu | Category: arts | Era: Heian Period
168. Edgar Degas (Edgar Degas) | Slug: edgar-degas | Category: science | Era: 19th Century
169. Oscar Wilde (Oscar Wilde) | Slug: oscar-wilde | Category: science | Era: Late 19th Century
170. Rabindranath Tagore (Rabindranath Tagore) | Slug: rabindranath-tagore | Category: science | Era: Late 19th - Early 20th Century
171. Sor Juana Ines de la Cruz (Sor Juana Ines De La Cruz) | Slug: sor-juana-ines-de-la-cruz | Category: science | Era: 17th Century
172. Li Qingzhao (Li Qingzhao) | Slug: li-qingzhao | Category: science | Era: Song Dynasty
173. Matsuo Basho (Matsuo Basho) | Slug: matsuo-basho | Category: science | Era: Edo Period (1603-1868)
174. William Wilberforce (William Wilberforce) | Slug: william-wilberforce | Category: science | Era: Late 18th - Early 19th Century
175. Toussaint Louverture (Toussaint Louverture) | Slug: toussaint-louverture | Category: science | Era: Late 18th - Early 19th Century
176. Sojourner Truth (Sojourner Truth) | Slug: sojourner-truth | Category: science | Era: 19th Century
177. Emmeline Pankhurst (Emmeline Pankhurst) | Slug: emmeline-pankhurst | Category: science | Era: Late 19th - Early 20th Century
178. Jose Rizal (Jose Rizal) | Slug: jose-rizal | Category: science | Era: 19th Century
179. Mary Wollstonecraft (Mary Wollstonecraft) | Slug: mary-wollstonecraft | Category: science | Era: 18th Century
180. Lucretia Mott (Lucretia Mott) | Slug: lucretia-mott | Category: science | Era: 19th Century
181. Marco Polo (Marco Polo) | Slug: marco-polo | Category: science | Era: 13th Century
182. Vasco da Gama (Vasco Da Gama) | Slug: vasco-da-gama | Category: science | Era: Late 15th - Early 16th Century
183. Ferdinand Magellan (Ferdinand Magellan) | Slug: ferdinand-magellan | Category: science | Era: 16th Century
184. Cornelius Vanderbilt (Cornelius Vanderbilt) | Slug: cornelius-vanderbilt | Category: science | Era: 19th Century
185. Zhang Qian (Zhang Qian) | Slug: zhang-qian | Category: science | Era: Western Han Dynasty
186. Zheng He (Zheng He) | Slug: zheng-he | Category: science | Era: Early Ming Dynasty (15th Century)
187. Leif Erikson (Leif Erikson) | Slug: leif-erikson | Category: science | Era: Late 10th - Early 11th Century
188. 샤를마뉴 (Charlemagne) | Slug: charlemagne | Category: leadership | Era: 8세기 - 9세기
189. 파차쿠티 (Pachacuti) | Slug: pachacuti | Category: leadership | Era: 15세기
190. 악바르 대제 (Akbar the Great) | Slug: akbar-the-great | Category: leadership | Era: 16세기
191. 은징가 여왕 (Queen Nzinga) | Slug: queen-nzinga | Category: leadership | Era: 17세기
192. 에피쿠로스 (Epicurus) | Slug: epicurus | Category: philosophy | Era: 고대 헬레니즘 시대
193. 마이클 패러데이 (Michael Faraday) | Slug: michael-faraday | Category: science | Era: 19세기
194. 정복왕 윌리엄 (William The Conqueror) | Slug: william-the-conqueror | Category: leadership | Era: 11세기 중세 시대
195. 키루스 대왕 (Cyrus The Great) | Slug: cyrus-the-great | Category: leadership | Era: 기원전 6세기
196. 에르빈 슈뢰딩거 (Erwin Schrodinger) | Slug: erwin-schrodinger | Category: science | Era: 20세기
197. 주세페 가리발디 (Giuseppe Garibaldi) | Slug: giuseppe-garibaldi | Category: leadership | Era: 19세기
198. 제임스 맥스웰 (James Clerk Maxwell) | Slug: james-clerk-maxwell | Category: science | Era: 19세기
199. 몬테수마 2세 (Moctezuma II) | Slug: moctezuma-ii | Category: leadership | Era: 15세기 후반 - 16세기 초
200. 쩐흥다오 (Tran Hung Dao) | Slug: tran-hung-dao | Category: leadership | Era: 13세기 (쩐 왕조)
201. 제노비아 (Zenobia) | Slug: zenobia | Category: leadership | Era: 3세기 고대 로마
202. 조르주 퀴비에 (Georges Cuvier) | Slug: georges-cuvier | Category: science | Era: 18세기 후반 - 19세기 초반
203. 하트셉수트 (Hatshepsut) | Slug: hatshepsut | Category: leadership | Era: 기원전 15세기
204. 헤라클레이토스 (Heraclitus) | Slug: heraclitus | Category: philosophy | Era: 고대 그리스 (기원전 6세기)
205. 피타고라스 (Pythagoras) | Slug: pythagoras | Category: philosophy | Era: 기원전 6세기
206. 람세스 2세 (Ramesses II) | Slug: ramesses-ii | Category: leadership | Era: 고대 이집트 신왕국 (기원전 13세기)
207. 디오게네스 (Diogenes) | Slug: diogenes | Category: philosophy | Era: 기원전 4세기
208. 제임스 허튼 (James Hutton) | Slug: james-hutton | Category: science | Era: 18세기 계몽주의 시대
209. 엘리자베스 1세 (Queen Elizabeth I) | Slug: queen-elizabeth-i | Category: leadership | Era: 16세기
210. 어니스트 섀클턴 (Ernest Shackleton) | Slug: ernest-shackleton | Category: business | Era: 19세기 말 - 20세기 초
211. 도로시아 딕스 (Dorothea Dix) | Slug: dorothea-dix | Category: society | Era: 19세기
212. 프란츠 슈베르트 (Franz Schubert) | Slug: franz-schubert | Category: arts | Era: 19세기
213. 프리드리히 대왕 (Frederick The Great) | Slug: frederick-the-great | Category: leadership | Era: 18세기
214. 해리엇 마티노 (Harriet Martineau) | Slug: harriet-martineau | Category: society | Era: 19세기
215. 아이다 B. 웰스 (Ida B. Wells) | Slug: ida-b-wells | Category: society | Era: 19세기 후반 ~ 20세기 초
216. 렘브란트 (Rembrandt) | Slug: rembrandt | Category: arts | Era: 17세기 네덜란드 황금시대
217. 찰스 디킨스 (Charles Dickens) | Slug: charles-dickens | Category: arts | Era: 19세기
218. 클라라 바턴 (Clara Barton) | Slug: clara-barton | Category: society | Era: 19세기
219. 고트프리트 라이프니츠 (Gottfried Leibniz) | Slug: gottfried-leibniz | Category: philosophy | Era: 17세기 후반 - 18세기 초반
220. 제임스 쿡 (James Cook) | Slug: james-cook | Category: business | Era: 18세기
221. 마이스터 에크하르트 (Meister Eckhart) | Slug: meister-eckhart | Category: philosophy | Era: 13세기 - 14세기
222. 비투스 베링 (Vitus Bering) | Slug: vitus-bering | Category: business | Era: 18세기
223. 바르톨로뮤 디아스 (Bartolomeu Dias) | Slug: bartolomeu-dias | Category: business | Era: 15세기
224. 에드워드 제너 (Edward Jenner) | Slug: edward-jenner | Category: science | Era: 18~19세기
225. 에밀리 디킨슨 (Emily Dickinson) | Slug: emily-dickinson | Category: arts | Era: 19세기
226. 프란시스코 고야 (Francisco De Goya) | Slug: francisco-de-goya | Category: arts | Era: 18세기 후반 - 19세기 초
227. 조지 엘리엇 (George Eliot) | Slug: george-eliot | Category: arts | Era: 19세기
228. 헨리 허드슨 (Henry Hudson) | Slug: henry-hudson | Category: business | Era: 16세기 후반 ~ 17세기 초반
229. 호메로스 (Homer) | Slug: homer | Category: arts | Era: 기원전 8세기경
230. 제인 오스틴 (Jane Austen) | Slug: jane-austen | Category: arts | Era: 18세기 후반 - 19세기 초반
231. 존 스튜어트 밀 (John Stuart Mill) | Slug: john-stuart-mill | Category: philosophy | Era: 19세기
232. 올랭프 드 구주 (Olympe De Gouges) | Slug: olympe-de-gouges | Category: society | Era: 18세기 프랑스 혁명기
233. 플로티노스 (Plotinus) | Slug: plotinus | Category: philosophy | Era: 기원후 3세기
234. 로알 아문센 (Roald Amundsen) | Slug: roald-amundsen | Category: business | Era: 19세기 후반 ~ 20세기 초반
235. 엘리자베스 케이디 스탠턴 (Elizabeth Cady Stanton) | Slug: elizabeth-cady-stanton | Category: society | Era: 19세기
236. 헨리크 입센 (Henrik Ibsen) | Slug: henrik-ibsen | Category: arts | Era: 19세기
237. 베르길리우스 (Virgil) | Slug: virgil | Category: arts | Era: 기원전 1세기
238. 알리에노르 다키텐 (Eleanor of Aquitaine) | Slug: eleanor-of-aquitaine | Category: leadership | Era: 중세 시대
239. 순자타 케이타 (Sundiata Keita) | Slug: sundiata-keita | Category: leadership | Era: 13세기
240. 마리아 테레지아 (Maria Theresa) | Slug: maria-theresa | Category: leadership | Era: 18세기
241. 부디카 (Boudicca) | Slug: boudicca | Category: leadership | Era: 서기 1세기
242. 정일수 (Ching Shih) (Ching Shih) | Slug: ching-shih | Category: leadership | Era: 19세기
243. 아스키아 대제 (Askia the Great) | Slug: askia-the-great | Category: leadership | Era: 15세기 말 ~ 16세기 초
244. 알비루니 (Al-Biruni) | Slug: al-biruni | Category: science | Era: 10-11세기
245. 윌리엄 하비 (William Harvey) | Slug: william-harvey | Category: science | Era: 17세기
246. 조지프 프리스틀리 (Joseph Priestley) | Slug: joseph-priestley | Category: science | Era: 18세기
247. 칼 린네 (Carl Linnaeus) | Slug: carl-linnaeus | Category: science | Era: 18세기
248. 리제 마이트너 (Lise Meitner) | Slug: lise-meitner | Category: science | Era: 19세기 말 ~ 20세기 중반
249. 에미 뇌터 (Emmy Noether) | Slug: emmy-noether | Category: science | Era: 19세기 말 ~ 20세기 초
250. 알렉산더 폰 훔볼트 (Alexander von Humboldt) | Slug: alexander-von-humboldt | Category: science | Era: 18세기 후반 - 19세기 중반
251. 튀코 브라헤 (Tycho Brahe) | Slug: tycho-brahe | Category: science | Era: 16세기
252. 존 뮤어 (John Muir) | Slug: john-muir | Category: science | Era: 19세기 후반 ~ 20세기 초반
253. 앨프리드 러셀 월리스 (Alfred Russel Wallace) | Slug: alfred-russel-wallace | Category: science | Era: 19세기
254. 피에르 퀴리 (Pierre Curie) | Slug: pierre-curie | Category: science | Era: 19세기 말 ~ 20세기 초
255. 찰스 라이엘 (Charles Lyell) | Slug: charles-lyell | Category: science | Era: 19세기
256. 알파라비 (Al-Farabi) | Slug: al-farabi | Category: philosophy | Era: 10세기
257. 토마스 모어 (Thomas More) | Slug: thomas-more | Category: philosophy | Era: 르네상스 시대
258. 시몬 베유 (Simone Weil) | Slug: simone-weil | Category: philosophy | Era: 20세기
259. 안토니오 그람시 (Antonio Gramsci) | Slug: antonio-gramsci | Category: philosophy | Era: 20세기 초
260. 로자 룩셈부르크 (Rosa Luxemburg) | Slug: rosa-luxemburg | Category: philosophy | Era: 19세기 말 - 20세기 초
261. 조지 산타야나 (George Santayana) | Slug: george-santayana | Category: philosophy | Era: 19세기 후반 - 20세기 중반
262. 앙리 베르그송 (Henri Bergson) | Slug: henri-bergson | Category: philosophy | Era: 19세기 말 ~ 20세기 초
263. 오컴의 윌리엄 (William of Ockham) | Slug: william-of-ockham | Category: philosophy | Era: 14세기
264. 에른스트 마흐 (Ernst Mach) | Slug: ernst-mach | Category: philosophy | Era: 19세기
265. 윌리엄 틴들 (William Tyndale) | Slug: william-tyndale | Category: philosophy | Era: 16세기
266. 제프리 초서 (Geoffrey Chaucer) | Slug: chaucer | Category: arts | Era: 14세기
267. 조너선 스위프트 (Jonathan Swift) | Slug: jonathan-swift | Category: arts | Era: 17세기 말 ~ 18세기 중반
268. 조르주 상 (George Sand) | Slug: george-sand | Category: arts | Era: 19세기
