slug,name_ko,name_en,birth_year,death_year,is_living,era,region,category,wikidata_qid,wikiSlug,epic_ko_length
"annie-jump-cannon","annie-jump-cannon","annie-jump-cannon","1863","1941","false","20세기의 거인 (1863~1941)","유럽","science","","","2523"
"antoni-gaudi","antoni-gaudi","antoni-gaudi","1852","1926","false","20세기의 거인 (1852~1926)","유럽","arts","","","1903"
"antonie-van-leeuwenhoek","antonie-van-leeuwenhoek","antonie-van-leeuwenhoek","1632","1723","false","17세기의 거인 (1632~1723)","유럽","science","","","2276"
"antoninus-pius","antoninus-pius","antoninus-pius","86","161","false","2세기의 거인 (86~161)","남아시아","leadership","","","2451"
"antonio-vivaldi","antonio-vivaldi","antonio-vivaldi","1678","1741","false","18세기의 거인 (1678~1741)","유럽","arts","","","2138"
"aristophanes","aristophanes","aristophanes","","","false","기원전 5세기의 거인 (기원전 446년~기원전 386년)","유럽","arts","","","2200"
"arnold-schoenberg","arnold-schoenberg","arnold-schoenberg","1874","1951","true","20세기의 거인 (1874~1951)","북미","arts","","","2042"
"arthur-conan-doyle","arthur-conan-doyle","arthur-conan-doyle","1859","1930","false","19세기의 거인 (1859~1930)","서/남아프리카","arts","","","2143"
"arthur-rimbaud","arthur-rimbaud","arthur-rimbaud","1854","1891","false","19세기의 거인 (1854~1891)","서/남아프리카","arts","","","2083"
"arthur-wellesley","arthur-wellesley","arthur-wellesley","1769","1852","false","19세기의 거인 (1769~1852)","남아시아","leadership","","","2315"
"aryabhata","aryabhata","aryabhata","476","550","false","6세기의 거인 (476~550)","남아시아","science","","","2357"
"atahualpa","atahualpa","atahualpa","1502","1533","false","16세기의 거인 (1502~1533)","중남미","leadership","","","2325"
"august-kekule","august-kekule","august-kekule","1829","1896","false","19세기의 거인 (1829~1896)","유럽","science","","","2474"
"auguste-comte","auguste-comte","auguste-comte","1798","1857","false","19세기의 거인 (1798~1857)","유럽","philosophy","","","2499"
"aung-san","aung-san","aung-san","1915","1947","false","20세기의 거인 (1915~1947)","동아시아","leadership","","","2573"
"aurangzeb","aurangzeb","aurangzeb","1618","1707","false","17세기의 거인 (1618~1707)","남아시아","leadership","","","2727"
"b-f-skinner","b-f-skinner","b-f-skinner","1904","1990","false","20세기의 거인 (1904~1990)","북미","science","","","2537"
"ban-zhao","ban-zhao","ban-zhao","45","116","false","1세기의 거인 (45~116)","동아시아","philosophy","","","2655"
"bang-jeong-hwan","bang-jeong-hwan","bang-jeong-hwan","1899","1931","true","20세기의 거인 (1899~1931)","동아시아","society","","","2501"
"barbara-mcclintock","barbara-mcclintock","barbara-mcclintock","1902","1992","false","20세기의 거인 (1902~1992)","북미","science","","","2576"
"bessie-coleman","bessie-coleman","bessie-coleman","1892","1926","false","20세기의 거인 (1892~1926)","서/남아프리카","science","","","2778"
"bhaskara-ii","bhaskara-ii","bhaskara-ii","1114","1185","false","12세기의 거인 (1114~1185)","남아시아","science","","","2502"
"c-s-lewis","c-s-lewis","c-s-lewis","1898","1963","false","20세기의 거인 (1898~1963)","유럽","arts","","","2124"
"c-v-raman","c-v-raman","c-v-raman","1888","1970","true","20세기의 거인 (1888~1970)","남아시아","science","","","2565"
"cai-lun","cai-lun","cai-lun","50","121","true","2세기의 거인 (50~121)","동아시아","science","","","2371"
"camille-claudel","camille-claudel","camille-claudel","1864","1943","false","19세기의 거인 (1864~1943)","유럽","arts","","","2093"
"cao-cao","cao-cao","cao-cao","155","220","false","3세기의 거인 (155~220)","동아시아","leadership","","","2860"
"caracalla","caracalla","caracalla","188","217","false","3세기의 거인 (188~217)","중동/북아프리카","leadership","","","2761"
"caravaggio","caravaggio","caravaggio","1571","1610","false","17세기의 거인 (1571~1610)","유럽","arts","","","2175"
"carl-friedrich-gauss","carl-friedrich-gauss","carl-friedrich-gauss","1777","1855","false","19세기의 거인 (1777~1855)","유럽","science","","","2417"
"carl-sagan","carl-sagan","carl-sagan","1934","1996","false","20세기의 거인 (1934~1996)","북미","science","","","2372"
"caroline-herschel","caroline-herschel","caroline-herschel","1750","1848","false","19세기의 거인 (1750~1848)","유럽","science","","","2800"
"cecilia-payne-gaposchkin","cecilia-payne-gaposchkin","cecilia-payne-gaposchkin","1900","1979","false","20세기의 거인 (1900~1979)","남아시아","science","","","2887"
"ch-oe-ch-iwon","ch-oe-ch-iwon","ch-oe-ch-iwon","","","false","9세기의 거인 (857~?)","동아시아","philosophy","","","2583"
"ch-oe-muson","ch-oe-muson","ch-oe-muson","1325","1395","false","14세기의 거인 (1325~1395)","동아시아","science","","","2479"
"chanakya","chanakya","chanakya","","","true","기원전 4세기의 거인 (375 BC~283 BC)","남아시아","leadership","","","2588"
"charles-de-gaulle","charles-de-gaulle","charles-de-gaulle","1890","1970","false","20세기의 거인 (1890~1970)","유럽","leadership","","","2688"
"charlie-chaplin","charlie-chaplin","charlie-chaplin","1889","1977","false","20세기의 거인 (1889~1977)","유럽","arts","","","2258"
"charlotte-bronte","charlotte-bronte","charlotte-bronte","1816","1855","false","19세기의 거인 (1816~1855)","유럽","arts","","","2291"
"che-guevara","che-guevara","che-guevara","1928","1967","true","20세기의 거인 (1928~1967)","남아시아","society","","","2515"
"chien-shiung-wu","chien-shiung-wu","chien-shiung-wu","1912","1997","false","20세기의 거인 (1912~1997)","동아시아","science","","","2436"
"chikamatsu-monzaemon","치카마츠 몬자에몽","chikamatsu-monzaemon","1653","1725","true","17세기의 거인 (1653~1725)","동아시아","arts","","","2195"
"cho-kwangjo","cho-kwangjo","cho-kwangjo","1482","1519","false","16세기의 거인 (1482~1519)","동아시아","philosophy","","","2508"
"chong-tojon","chong-tojon","chong-tojon","1342","1398","true","14세기의 거인 (1342~1398)","동아시아","leadership","","","2352"
"christiaan-huygens","christiaan-huygens","christiaan-huygens","1629","1695","false","17세기의 거인 (1629~1695)","유럽","science","","","2462"
"christopher-columbus","christopher-columbus","christopher-columbus","1451","1506","false","15세기의 거인 (1451~1506)","동아시아","leadership","","","2662"
"chu-sigyong","chu-sigyong","chu-sigyong","1876","1914","false","20세기의 거인 (1876~1914)","동아시아","society","","","2666"
"colette","콜레트","colette","1873","1954","false","20세기의 거인 (1873~1954)","유럽","arts","","","2114"
"commodus","commodus","commodus","161","192","true","2세기의 거인 (161~192)","유럽","leadership","","","2417"
"constantin-brancusi","콘스탄틴 브랑쿠시","constantin-brancusi","1876","1957","true","20세기의 거인 (1876~1957)","유럽","arts","","","1959"
"constantine-the-great","constantine-the-great","constantine-the-great","272","337","true","4세기의 거인 (272~337)","중동/북아프리카","leadership","","","2595"
"coretta-scott-king","coretta-scott-king","coretta-scott-king","1927","2006","false","20세기의 거인 (1927~2006)","동남아시아","society","","","2433"
"darius-the-great","darius-the-great","darius-the-great","","","false","기원전 6세기의 거인 (550 BC~486 BC)","남아시아","leadership","","","2875"
"date-masamune","date-masamune","date-masamune","1567","1636","true","16세기의 거인 (1567~1636)","동아시아","leadership","","","2635"
"david-ben-gurion","david-ben-gurion","david-ben-gurion","1886","1973","true","20세기의 거인 (1886~1973)","중동/북아프리카","leadership","","","2785"
"desmond-tutu","desmond-tutu","desmond-tutu","1931","2021","true","20세기의 거인 (1931~2021)","서/남아프리카","society","","","2416"
"dian-fossey","dian-fossey","dian-fossey","1932","1985","false","20세기의 거인 (1932~1985)","서/남아프리카","science","","","2549"
"diana-princess-of-wales","diana-princess-of-wales","diana-princess-of-wales","1961","1997","false","20세기의 거인 (1961~1997)","남아시아","society","","","2435"
"diego-rivera","디에고 리베라","diego-rivera","1886","1957","false","20세기의 거인 (1886~1957)","중남미","arts","","","2194"
"diego-velazquez","디에고 벨라스케스","diego-velazquez","1599","1660","false","17세기의 거인 (1599~1660)","유럽","arts","","","2108"
"diocletian","diocletian","diocletian","244","311","false","3세기의 거인 (244~311)","중동/북아프리카","leadership","","","2720"
"dmitri-shostakovich","드미트리 쇼스타코비치","dmitri-shostakovich","1906","1975","true","20세기의 거인 (1906~1975)","유럽","arts","","","1996"
"domitian","domitian","domitian","51","96","false","1세기의 거인 (51~96)","유럽","leadership","","","2561"
"donatello","도나텔로","donatello","1386","1466","false","15세기의 거인 (1386~1466)","유럽","arts","","","2038"
"dong-zhongshu","dong-zhongshu","dong-zhongshu","","","false","기원전 2세기의 거인 (179 BC~104 BC)","동아시아","philosophy","","","2563"
"dorothy-hodgkin","dorothy-hodgkin","dorothy-hodgkin","1910","1994","true","20세기의 거인 (1910~1994)","동아시아","science","","","2576"
"dorothy-vaughan","dorothy-vaughan","dorothy-vaughan","1910","2008","false","20세기의 거인 (1910~2008)","서/남아프리카","science","","","2528"
"du-fu","두보","du-fu","712","770","false","8세기의 거인 (712~770)","동아시아","arts","","","2042"
"edith-wharton","에디스 워튼","edith-wharton","1862","1937","true","20세기의 거인 (1862~1937)","남아시아","arts","","","1905"
"edouard-manet","edouard-manet","edouard-manet","1832","1883","false","19세기의 거인 (1832~1883)","유럽","arts","","","2563"
"edvard-munch","에드바르 뭉크","edvard-munch","1863","1944","true","19세기의 거인 (1863~1944)","유럽","arts","","","1921"
"edwin-hubble","edwin-hubble","edwin-hubble","1889","1953","false","19세기의 거인 (1889~1953)","유럽","science","","","2583"
"efunroye-tinubu","efunroye-tinubu","efunroye-tinubu","1805","1887","false","19세기의 거인 (1805~1887)","서/남아프리카","business","","","2918"
"eleanor-roosevelt","eleanor-roosevelt","eleanor-roosevelt","1884","1962","false","20세기의 거인 (1884~1962)","유럽","society","","","2404"
"elizabeth-ii","elizabeth-ii","elizabeth-ii","1926","2022","true","20세기의 거인 (1926~2022)","서/남아프리카","leadership","","","2401"
"emilie-du-chatelet","emilie-du-chatelet","emilie-du-chatelet","1706","1749","false","18세기의 거인 (1706~1749)","유럽","science","","","2549"
"emilio-aguinaldo","emilio-aguinaldo","emilio-aguinaldo","1869","1964","false","20세기의 거인 (1869~1964)","동아시아","leadership","","","2187"
"emily-bronte","에밀리 브론테","emily-bronte","1818","1848","false","19세기의 거인 (1818~1848)","유럽","arts","","","2713"
"emma-lazarus","에마 라자루스","emma-lazarus","1849","1887","false","19세기의 거인 (1849~1887)","유럽","arts","","","2463"
"emperor-gaozu-of-han","emperor-gaozu-of-han","emperor-gaozu-of-han","","","false","기원전 3세기의 거인 (256 BC~195 BC)","동아시아","leadership","","","2213"
"emperor-meiji","emperor-meiji","emperor-meiji","1852","1912","false","19세기의 거인 (1852~1912)","동아시아","leadership","","","2006"
"emperor-taizong-of-tang","emperor-taizong-of-tang","emperor-taizong-of-tang","598","649","false","7세기의 거인 (598~649)","동아시아","leadership","","","2265"
"emperor-wu-of-han","emperor-wu-of-han","emperor-wu-of-han","","","false","기원전 2세기의 거인 (기원전 156년~기원전 87년)","동아시아","leadership","","","2851"
"empress-dowager-cixi","empress-dowager-cixi","empress-dowager-cixi","1835","1908","false","19세기의 거인 (1835년~1908년)","동아시아","leadership","","","2464"
"enrico-caruso","엔리코 카루소","enrico-caruso","1873","1921","false","20세기의 거인 (1873~1921)","유럽","arts","","","2526"
"enrico-fermi","enrico-fermi","enrico-fermi","1901","1954","false","20세기의 거인 (1901~1954)","중남미","science","","","2853"
"erik-satie","에릭 사티","erik-satie","1866","1925","false","20세기의 거인 (1866~1925)","유럽","arts","","","2503"
"ernest-rutherford","ernest-rutherford","ernest-rutherford","1871","1937","false","20세기의 거인 (1871~1937)","유럽","science","","","2401"
"ernst-haeckel","ernst-haeckel","ernst-haeckel","1834","1919","false","19세기의 거인 (1834~1919)","유럽","science","","","2808"
"eugene-delacroix","외젠 들라크루아","eugene-delacroix","1798","1863","false","19세기의 거인 (1798~1863)","중동/북아프리카","arts","","","2409"
"euripides","에우리피데스","euripides","","","false","기원전 5세기의 거인 (기원전 480~기원전 406)","중동/북아프리카","arts","","","2505"
"eva-peron","eva-peron","eva-peron","1919","1952","true","20세기의 거인 (1919~1952)","기타","society","","","2279"
"ezra-pound","에즈라 파운드","ezra-pound","1885","1972","false","20세기의 거인 (1885~1972)","동아시아","arts","","","2468"
"f-scott-fitzgerald","F. 스콧 피츠제럴드","f-scott-fitzgerald","1896","1940","false","20세기의 거인 (1896~1940)","유럽","arts","","","2587"
"federico-fellini","페데리코 펠리니","federico-fellini","1920","1993","false","20세기의 거인 (1920~1993)","남아시아","arts","","","2520"
"felix-mendelssohn","펠릭스 멘델스존","felix-mendelssohn","1809","1847","false","19세기의 거인 (1809~1847)","유럽","arts","","","2380"
"fidel-castro","fidel-castro","fidel-castro","1926","2016","true","20세기의 거인 (1926년~2016년)","중남미","leadership","","","2654"
"frances-willard","frances-willard","frances-willard","1839","1898","false","19세기의 거인 (1839~1898)","북미","society","","","2333"
"francis-crick","francis-crick","francis-crick","1916","2004","false","20세기의 거인 (1916~2004)","유럽","science","","","2844"
"frank-lloyd-wright","frank-lloyd-wright","frank-lloyd-wright","1867","1959","false","20세기의 거인 (1867~1959)","유럽","arts","","","2526"
"franz-liszt","franz-liszt","franz-liszt","1811","1886","true","19세기의 거인 (1811~1886)","유럽","arts","","","2361"
"frederick-banting","frederick-banting","frederick-banting","1891","1941","false","20세기의 거인 (1891~1941)","유럽","science","","","2943"
"fukuzawa-yukichi","fukuzawa-yukichi","fukuzawa-yukichi","1835","1901","true","19세기의 거인 (1835~1901)","동아시아","philosophy","","","2593"
"gabriel-garcia-marquez","gabriel-garcia-marquez","gabriel-garcia-marquez","1927","2014","false","20세기의 거인 (1927~2014)","중남미","arts","","","2233"
"gaius-marius","gaius-marius","gaius-marius","","","false","기원전 2세기의 거인 (기원전 157년~기원전 86년)","서/남아프리카","leadership","","","2587"
"gamal-abdel-nasser","gamal-abdel-nasser","gamal-abdel-nasser","1918","1970","false","20세기의 거인 (1918년~1970년)","남아시아","leadership","","","2726"
"georg-ohm","georg-ohm","georg-ohm","1789","1854","false","19세기의 거인 (1789~1854)","유럽","science","","","2488"
"georg-wilhelm-friedrich-hegel","georg-wilhelm-friedrich-hegel","georg-wilhelm-friedrich-hegel","1770","1831","false","19세기의 거인 (1770~1831)","유럽","philosophy","","","2595"
"george-catlin","george-catlin","george-catlin","1796","1872","false","19세기의 거인 (1796~1872)","유럽","arts","","","2462"
"george-gershwin","george-gershwin","george-gershwin","1898","1937","false","20세기의 거인 (1898~1937)","유럽","arts","","","2234"
"george-orwell","george-orwell","george-orwell","1903","1950","false","20세기의 거인 (1903~1950)","동남아시아","arts","","","2218"
"georges-danton","조르주 당통","georges-danton","1759","1794","false","18세기의 거인 (1759~1794)","남아시아","leadership","","","2399"
"georges-seurat","georges-seurat","georges-seurat","1859","1891","false","19세기의 거인 (1859~1891)","유럽","arts","","","2268"
"georgia-o-keeffe","georgia-o-keeffe","georgia-o-keeffe","1887","1986","false","20세기의 거인 (1887~1986)","중남미","arts","","","2272"
"geronimo","제로니모","geronimo","1829","1909","true","19세기의 거인 (1829~1909)","중남미","leadership","","","2852"
"gerty-cori","gerty-cori","gerty-cori","1896","1957","false","20세기의 거인 (1896~1957)","유럽","science","","","2424"
"gim-man-deok","gim-man-deok","gim-man-deok","1739","1812","false","18세기의 거인 (1739~1812)","동아시아","business","","","2827"
"giorgio-vasari","giorgio-vasari","giorgio-vasari","1511","1574","false","16세기의 거인 (1511~1574)","유럽","arts","","","2104"
"giovanni-boccaccio","giovanni-boccaccio","giovanni-boccaccio","1313","1375","true","14세기의 거인 (1313~1375)","유럽","arts","","","2048"
"giuseppe-verdi","giuseppe-verdi","giuseppe-verdi","1813","1901","false","19세기의 거인 (1813~1901)","유럽","arts","","","2172"
"golda-meir","골다 메이어","golda-meir","1898","1978","true","20세기의 거인 (1898~1978)","중동/북아프리카","leadership","","","2466"
"gongmin-of-goryeo","공민왕","gongmin-of-goryeo","1330","1374","true","14세기의 거인 (1330~1374)","동아시아","leadership","","","2956"
"grace-hopper","grace-hopper","grace-hopper","1906","1992","false","20세기의 거인 (1906~1992)","북미","science","","","2409"
"guan-yu","관우","guan-yu","160","220","false","3세기의 거인 (160~220)","동아시아","leadership","","","2673"
"guo-shoujing","guo-shoujing","guo-shoujing","1231","1316","true","13세기의 거인 (1231~1316)","동아시아","science","","","2232"
"gustav-klimt","gustav-klimt","gustav-klimt","1862","1918","false","19세기의 거인 (1862~1918)","동아시아","arts","","","2361"
"gustav-mahler","gustav-mahler","gustav-mahler","1860","1911","true","19세기의 거인 (1860~1911)","동아시아","arts","","","2484"
"gustave-flaubert","gustave-flaubert","gustave-flaubert","1821","1880","false","19세기의 거인 (1821~1880)","중동/북아프리카","arts","","","2906"
"gwanghaegun-of-joseon","gwanghaegun-of-joseon","gwanghaegun-of-joseon","1575","1641","true","17세기의 거인 (1575~1641)","동아시아","leadership","","","2445"
"hadrian","hadrian","hadrian","76","138","false","2세기의 거인 (76~138)","중동/북아프리카","leadership","","","2342"
"haile-selassie","haile-selassie","haile-selassie","1892","1975","false","20세기의 거인 (1892~1975)","서/남아프리카","leadership","","","2369"
"han-xin","han-xin","han-xin","","","false","기원전 3세기의 거인 (231 BC~196 BC)","동아시아","leadership","","","2710"
"han-yong-un","han-yong-un","han-yong-un","1879","1944","false","20세기의 거인 (1879~1944)","동아시아","arts","","","2422"
"harsha","harsha","harsha","590","647","false","7세기의 거인 (590~647)","동아시아","leadership","","","2535"
"heinrich-hertz","heinrich-hertz","heinrich-hertz","1857","1894","false","19세기의 거인 (1857~1894)","중동/북아프리카","science","","","2465"
"henri-matisse","앙리 마티스","henri-matisse","1869","1954","false","20세기의 거인 (1869~1954)","서/남아프리카","arts","","","2399"
"henrietta-swan-leavitt","henrietta-swan-leavitt","henrietta-swan-leavitt","1868","1921","false","20세기의 거인 (1868~1921)","북미","science","","","2635"
"henry-moore","henry-moore","henry-moore","1898","1986","true","20세기의 거인 (1898~1986)","서/남아프리카","arts","","","2989"
"henry-morton-stanley","henry-morton-stanley","henry-morton-stanley","1841","1904","true","19세기의 거인 (1841~1904)","중동/북아프리카","leadership","","","2752"
"henry-viii","henry-viii","henry-viii","1491","1547","false","16세기의 거인 (1491~1547)","유럽","leadership","","","2869"
"herman-melville","herman-melville","herman-melville","1819","1891","false","19세기의 거인 (1819~1891)","유럽","arts","","","2690"
"hermann-von-helmholtz","hermann-von-helmholtz","hermann-von-helmholtz","1821","1894","false","19세기의 거인 (1821~1894)","유럽","science","","","2605"
"hildegard-of-bingen","힐데가르트 폰 빙엔","hildegard-of-bingen","1098","1179","false","12세기의 거인 (1098~1179)","유럽","arts","","","2149"
"hirohito","hirohito","hirohito","1901","1989","false","20세기의 거인 (1901~1989)","동아시아","leadership","","","2960"
"ho-chi-minh","ho-chi-minh","ho-chi-minh","1890","1969","false","20세기의 거인 (1890~1969)","동아시아","leadership","","","2820"
"ho-chun","ho-chun","ho-chun","1539","1615","false","16세기의 거인 (1539~1615)","동아시아","science","","","2633"
"ho-kyun","ho-kyun","ho-kyun","1569","1618","false","16세기의 거인 (1569~1618)","동아시아","arts","","","2715"
"hojo-masako","hojo-masako","hojo-masako","1157","1225","true","13세기의 거인 (1157~1225)","동아시아","leadership","","","2708"
"hong-xiuquan","hong-xiuquan","hong-xiuquan","1814","1864","false","19세기의 거인 (1814~1864)","동아시아","society","","","2401"
"honore-de-balzac","honore-de-balzac","honore-de-balzac","1799","1850","false","19세기의 거인 (1799~1850)","유럽","arts","","","2669"
"horace","horace","horace","","","true","기원전 1세기의 거인 (기원전 65~기원전 8)","유럽","arts","","","2898"
"horatio-nelson-1st-viscount-nelson","horatio-nelson-1st-viscount-nelson","horatio-nelson-1st-viscount-nelson","1758","1805","false","18세기의 거인 (1758~1805)","남아시아","leadership","","","2935"
"hulegu-khan","hulegu-khan","hulegu-khan","1218","1265","false","13세기의 거인 (1218~1265)","동아시아","leadership","","","2779"
"humphry-davy","humphry-davy","humphry-davy","1778","1829","false","19세기의 거인 (1778~1829)","유럽","science","","","2507"
"hwang-chini","hwang-chini","hwang-chini","1506","1544","false","16세기의 거인 (1506~1544)","동아시아","arts","","","2762"
"i-m-pei","i-m-pei","i-m-pei","1917","2019","false","20세기의 거인 (1917~2019)","동아시아","arts","","","2715"
"ibn-al-nafis","ibn-al-nafis","ibn-al-nafis","1213","1288","false","13세기의 거인 (1213~1288)","중동/북아프리카","science","","","2771"
"igor-stravinsky","igor-stravinsky","igor-stravinsky","1882","1971","false","20세기의 거인 (1882~1971)","유럽","arts","","","2795"
"ihara-saikaku","ihara-saikaku","ihara-saikaku","1642","1693","false","17세기의 거인 (1642~1693)","동아시아","arts","","","2806"
"indira-gandhi","indira-gandhi","indira-gandhi","1917","1984","true","20세기의 거인 (1917~1984)","남아시아","leadership","","","2692"
"inge-lehmann","inge-lehmann","inge-lehmann","1888","1993","false","20세기의 거인 (1888~1993)","유럽","science","","","2641"
"ingmar-bergman","ingmar-bergman","ingmar-bergman","1918","2007","false","20세기의 거인 (1918~2007)","기타","arts","","","2725"
"irene-joliot-curie","irene-joliot-curie","irene-joliot-curie","1897","1956","false","20세기의 거인 (1897~1956)","유럽","science","","","2569"
"isabella-i-of-castile","isabella-i-of-castile","isabella-i-of-castile","1451","1504","false","15세기의 거인 (1451~1504)","기타","leadership","","","2563"
"ismail-al-jazari","ismail-al-jazari","ismail-al-jazari","1136","1206","true","12세기의 거인 (1136~1206)","동아시아","science","","","2499"
"ivan-pavlov","ivan-pavlov","ivan-pavlov","1849","1936","false","20세기의 거인 (1849~1936)","유럽","science","","","2566"
"ivan-turgenev","ivan-turgenev","ivan-turgenev","1818","1883","false","19세기의 거인 (1818~1883)","유럽","arts","","","2756"
"j-j-thomson","j-j-thomson","j-j-thomson","1856","1940","false","20세기의 거인 (1856~1940)","유럽","science","","","2600"
"j-r-r-tolkien","j-r-r-tolkien","j-r-r-tolkien","1892","1973","false","20세기의 거인 (1892~1973)","서/남아프리카","arts","","","2871"
"jackson-pollock","jackson-pollock","jackson-pollock","1912","1956","true","20세기의 거인 (1912~1956)","중남미","arts","","","2751"
"james-chadwick","james-chadwick","james-chadwick","1891","1974","false","20세기의 거인 (1891~1974)","유럽","science","","","2918"
"james-k-polk","james-k-polk","james-k-polk","1795","1849","false","19세기의 거인 (1795~1849)","동아시아","leadership","","","2765"
"james-prescott-joule","james-prescott-joule","james-prescott-joule","1818","1889","false","19세기의 거인 (1818~1889)","유럽","science","","","2551"
"james-watson","james-watson","james-watson","1928","2025","true","20세기 거인 (1928~2025)","유럽","science","","","2688"
"jan-van-eyck","jan-van-eyck","jan-van-eyck","1390","1441","false","15세기의 거인 (1390~1441)","유럽","arts","","","2102"
"jane-goodall","jane-goodall","jane-goodall","1934","2025","true","20세기 거인 (1934~2025)","서/남아프리카","science","","","2260"
"jawaharlal-nehru","jawaharlal-nehru","jawaharlal-nehru","1889","1964","false","20세기의 거인 (1889~1964)","동아시아","leadership","","","2322"
"jean-baptiste-lamarck","jean-baptiste-lamarck","jean-baptiste-lamarck","1744","1829","false","19세기의 거인 (1744~1829)","유럽","science","","","2500"
"jean-jacques-dessalines","jean-jacques-dessalines","jean-jacques-dessalines","1758","1806","false","19세기의 거인 (1758~1806)","서/남아프리카","leadership","","","2283"
"jean-paul-marat","jean-paul-marat","jean-paul-marat","1743","1793","false","18세기의 거인 (1743~1793)","유럽","society","","","2385"
"jean-paul-sartre","jean-paul-sartre","jean-paul-sartre","1905","1980","false","20세기의 거인 (1905~1980)","동남아시아","philosophy","","","2474"
"jean-piaget","jean-piaget","jean-piaget","1896","1980","false","20세기의 거인 (1896~1980)","유럽","science","","","2367"
"jeon-bong-jun","jeon-bong-jun","jeon-bong-jun","1855","1895","true","19세기의 거인 (1855~1895)","동아시아","leadership","","","2138"
"jeremy-bentham","jeremy-bentham","jeremy-bentham","1748","1832","true","19세기의 거인 (1748~1832)","유럽","philosophy","","","2499"
"jinheung-of-silla","jinheung-of-silla","jinheung-of-silla","526","576","true","6세기의 거인 (526~576)","동아시아","leadership","","","2117"
"joan-miro","joan-miro","joan-miro","1893","1983","false","20세기의 거인 (1893~1983)","유럽","arts","","","2190"
"johann-sebastian-bach","johann-sebastian-bach","johann-sebastian-bach","1685","1750","false","18세기의 거인 (1685~1750)","유럽","arts","","","2377"
"johannes-brahms","johannes-brahms","johannes-brahms","1833","1897","false","19세기의 거인 (1833~1897)","유럽","arts","","","2396"
"johannes-vermeer","johannes-vermeer","johannes-vermeer","1632","1675","true","17세기의 거인 (1632~1675)","유럽","arts","","","2472"
"john-a-macdonald","john-a-macdonald","john-a-macdonald","1815","1891","false","19세기의 거인 (1815~1891)","유럽","leadership","","","2211"
"john-b-watson","john-b-watson","john-b-watson","1878","1958","false","20세기의 거인 (1878~1958)","북미","science","","","1968"
"john-cage","john-cage","john-cage","1912","1992","false","20세기의 거인 (1912~1992)","동아시아","arts","","","2821"
"john-calvin","john-calvin","john-calvin","1509","1564","false","16세기의 거인 (1509~1564)","유럽","philosophy","","","2436"
